material,model,date,which,soap_cosine_similarity,path,note
BaFeO3,deepseek,2025-07-15,earliest,0.99721667,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_15/relax_deepseek-v3-11_28_30/BaFeO3,
BaFeO3,gpt-4o,2025-07-15,earliest,0.99711332,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_15/relax_gpt-4o-14_54_34/BaFeO3,
BaFeO3,Qwen,2025-07-16,earliest,0.99721039,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_16/relax_Qwen/Qwen3-32B-13_14_02/BaFeO3,
BaFeO3,o4,2025-07-15,earliest,0.99722124,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_15/relax_o4-mini-23_18_14/BaFeO3,
BaFeO3,gemini,2025-07-23,earliest,0.99906238,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_23/relax_gemini-2.5-pro-thinking-00_47_04/BaFeO3,
BaFeO3,claude,2025-07-16,earliest,0.99991028,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_16/relax_claude-3-7-sonnet-thinking-16_24_09/BaFeO3,
BaTiO3,deepseek,2025-07-02,earliest,0.99999897,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_02/relax_deepseek-v3-16_15_34/BaTiO3,
BaTiO3,deepseek,2025-07-15,latest,0.99831083,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_15/relax_deepseek-v3-11_28_30/BaTiO3,
BaTiO3,gpt-4o,2025-07-02,earliest,0.99999826,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_02/relax_gpt-4o-22_52_29/BaTiO3,
BaTiO3,gpt-4o,2025-07-15,latest,0.99836460,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_15/relax_gpt-4o-15_43_35/BaTiO3,
BaTiO3,Qwen,2025-07-03,earliest,0.99999929,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_03/relax_Qwen/Qwen3-32B-06_52_48/BaTiO3,
BaTiO3,Qwen,2025-07-16,latest,0.99935289,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_16/relax_Qwen/Qwen3-32B-13_14_02/BaTiO3,
BaTiO3,o4,2025-07-03,earliest,0.99999825,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_03/relax_o4-mini-03_18_49/BaTiO3,
BaTiO3,o4,2025-07-15,latest,0.99999825,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_15/relax_o4-mini-23_24_43/BaTiO3,
BaTiO3,gemini,2025-07-03,earliest,0.99999897,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_03/relax_gemini-2.5-pro-exp-03-25-10_08_34/BaTiO3,
BaTiO3,gemini,2025-07-23,latest,0.99999900,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_23/relax_gemini-2.5-pro-thinking-00_59_58/BaTiO3,
BaTiO3,claude,2025-07-03,earliest,0.99999959,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_03/relax_claude-3-7-sonnet-thinking-15_02_12/BaTiO3,
BaTiO3,claude,2025-07-16,latest,0.99999969,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_16/relax_claude-3-7-sonnet-thinking-16_32_52/BaTiO3,
